asset_id,名称,asset_type,category,source_batch,candidate_status,runtime_lifecycle,consumer,applicability,runtime_applicability,supported_products,supported_display_contracts,required_inputs,use_when,avoid_when,not_when,gold_fixture_refs,valid_until,superseded_by,能力边界摘要,真源路径,source_sha256
A-MAT-004,悬垂由重量、弯曲、剪切、结构和后整理共同决定,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,解释垂感、摆动、贴随和轮廓成形,,复合、粘合、厚涂层或高刚度结构；只凭克重判断,,,,不得把“重=垂”“薄=飘”“真丝=一定垂”写成普遍事实。；复合、粘合、厚涂层或高刚度结构；只凭克重判断,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-MAT-005,厚度、挺括和硬度不能互相替代,domain_knowledge,A,batch_2_ab,review_candidate,active,content-production / P2,,当前 P2 商品事实边界,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,解释挺括、轮廓保持和结构感,,存在不同组织、树脂整理、复合或弹性结构；只有厚度/克重数据,G-P2-DOUBLEFACE,,,不得把“厚=挺”“轻=软”“双面=更硬”直接写入商品认知。；存在不同组织、树脂整理、复合或弹性结构；只有厚度/克重数据,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-MAT-006,起皱与回复取决于纤维、结构、整理、含湿和护理,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth,,,解释易皱、打理成本和穿着预期,,未知染整、复合、护理条件或成衣结构；仅凭天然/合成分类,,,,不得写成“真丝都易皱”“聚酯永不皱”“天然纤维一定难打理”。；未知染整、复合、护理条件或成衣结构；仅凭天然/合成分类,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-MAT-007,表面光泽会随材质表面、组织、整理、光线和角度变化,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,,,P2_product_truth；P5_visual_styling_story,,,解释光泽、低调/醒目和镜头表现,,只有平面商品图或未知光线；将审美词当作客观功能,,,,不得把“哑光=高级”“有光泽=廉价/显胖”写成行业真理。；只有平面商品图或未知光线；将审美词当作客观功能,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-MEASURE-001,单位面积质量与厚度是两个不同测量维度,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,"{""scope"": ""织物物理参数""}",,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,,,,G-P2-DOUBLEFACE,,,不得把“更重”直接写成“更厚、更暖、更挺”，也不得把“更薄”直接写成“更轻”。,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-MEASURE-002,空气渗透率、热阻与水蒸气阻力不是同一指标,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,"{""scope"": ""服装面料与多层材料的舒适性能描述""}",,P1_dressing_decision；P2_product_truth,,,,,,,,,不得以“透气”概括所有热湿舒适性能；不得用空气渗透率证明保暖或排汗。,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-MEASURE-003,人体尺寸与成衣尺寸必须分开,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,"{""scope"": ""号型、合身与商品参数解释""}",,P1_dressing_decision；P2_product_truth,,,,,,,,,不得根据成衣胸围直接认定用户胸围，也不得把人体尺寸表当成某件商品尺寸表。,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-MEASURE-004,成衣参数必须绑定明确测量点和方法,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,"{""scope"": ""成衣尺寸参数""}",,P1_dressing_decision；P2_product_truth,,,,,,,,,不得把不同品牌、不同品类或不同测量方法下的同名参数直接横向比较。,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-STRUCT-001,肩线位置和袖窿结构会改变肩部边界、量感与动作关系,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,比较正肩、落肩及相关上装结构,,面料极软/极挺、肩宽差异大、袖窿和衣身结构未知,,,,不得把“落肩必显肩窄/必随性”“正肩必显精神”写成固定结论。；面料极软/极挺、肩宽差异大、袖窿和衣身结构未知,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-TERM-001,纤维—纱线—面料—成衣是不同对象层级,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,"{""scope"": ""服装与一般纺织品的基础术语""}",,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,,,,,,,不得仅凭纤维名称推断整件面料或成衣的全部性能；不得把通用术语冒充具体商品已采用的结构。,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-TERM-002,机织、针织与非织造是不同成形结构,domain_knowledge,A,batch_2_ab,review_candidate,review_candidate,,"{""scope"": ""服装面料结构分类""}",,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,,,,,,,不得把“针织=一定弹”“机织=一定不弹”“非织造=低质量”作为结论。,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
A-TRANSLATE-001,商品特征只能翻译为有条件的可感知影响，不能自动翻译成品牌动机,domain_knowledge,A,batch_2_ab,review_candidate,active,content-production / P2,,当前 P2 商品解释,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,从商品资料生成对外解释,,商品特征本身未确认；将通用专业解释冒充品牌原意,G-P2-DESIGN-REASON；G-P2-NO-DESIGN-REASON,,,不得编造设计故事、研发目的、性能验证或“品牌专为某类人做”。；商品特征本身未确认；将通用专业解释冒充品牌原意,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-COLOR-001,色相、明度和彩度是不同的颜色知觉属性,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,"{""scope"": ""服装色彩描述与组合""}",,P1_dressing_decision；P2_product_truth；P3_brand_life_narrative；P4_local_response；P5_visual_styling_story,,,,,,,,,不得用“低饱和=深色”“高明度=鲜艳”等混合概念；不得把审美评价写成颜色属性。,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-COLOR-002,颜色外观会随周围颜色、面积、光照和观察条件变化,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,需要判断实物颜色、搭配对比或镜头表现时,,只看未经校准的屏幕图片；背景和光照未知,G-P5-DOUBLEFACE,,,不得以一张图片保证真实色差；不得把环境造成的色偏写成商品本体颜色。；只看未经校准的屏幕图片；背景和光照未知,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-COLOR-003,高彩度或高对比色占据更大面积时通常更容易成为视觉重音,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P5_visual_styling_story,,,需要决定主色、点缀色或画面重音时,,纹理/轮廓更强、光线不均、背景同色或受众注意被动作吸引,,,,不得把某种颜色固定为“显瘦/年轻/高级”；不得只靠字幕声明视觉重音。；纹理/轮廓更强、光线不均、背景同色或受众注意被动作吸引,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-COLOR-004,近似色或同色关系可减少色相切割，但不保证高级或显瘦,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P5_visual_styling_story,,,需要连贯、安静或低色差组合时,,材质和明度都相近、光线平、轮廓缺少层级,,,,不得写成“同色系天然高级/显瘦”；品牌可能明确偏好强对比。；材质和明度都相近、光线平、轮廓缺少层级,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-COMB-001,替代选择应保留核心任务，而不是只换同品类,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,需要给出替代、反选或一衣多用建议时,,不存在真实替代空间；用户只要单品判断；库存/商品未知却强造具体替代,G-P1-TRAVEL-ONE-COAT,,,不得为格式完整强制推荐第二件商品；不得把替代变成隐藏卖货清单。；不存在真实替代空间；用户只要单品判断；库存/商品未知却强造具体替代,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-COMB-002,一个真实单品足以承载造型关系时，不应强迫增加其他商品,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P5_visual_styling_story,,,单件商品具有可观察结构变化或本身就是造型命题核心时,,主命题确实依赖上下装、鞋包或场景组合；用户要求完整搭配方案,G-P5-DOUBLEFACE,,,不得把本条误解为 P5 只能有一件商品、一个镜头或一种拍法。；主命题确实依赖上下装、鞋包或场景组合；用户要求完整搭配方案,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-CREATIVE-001,低色差中的材质对比可作为层次方向,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P5_visual_styling_story,,,颜色关系已足够统一，需要让材质承担层次,品牌强调纯净单一表面；光线无法呈现材质差；纹理过多互相竞争,,,,,这只是创意方向，不得冒充材质功能或品牌固定审美；具体商品必须真实具备相应表面。；品牌强调纯净单一表面；光线无法呈现材质差；纹理过多互相竞争,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-CREATIVE-002,围绕一个主视觉重音组织轮廓、纹理或色块,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P5_visual_styling_story,,,商品至少有一个真实可见差异，且当前制作条件能够证明,多个视觉差异同等竞争；主重音必须依靠字幕才成立；品牌战略要求完全不同的观看秩序,,G-P5-DOUBLEFACE,,,这不是强制镜头清单；一条命题可以有多商品、多镜头和多种拍法，但都必须服务同一穿着可能。；多个视觉差异同等竞争；主重音必须依靠字幕才成立；品牌战略要求完全不同的观看秩序,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-LAYER-001,层搭应先分配功能，再处理视觉关系,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth；P4_local_response；P5_visual_styling_story,,,存在温差、风、活动量或长时间室内外切换时,,各层功能重复、外层压缩保温层、用户不便携带或环境事实未知,,,,不得把“三层法”机械套用所有场景；不得以纤维名替代真实层功能。；各层功能重复、外层压缩保温层、用户不便携带或环境事实未知,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-PROP-001,可见分割位置会改变整体比例的观看方式,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P5_visual_styling_story,,,需要调整视觉重心或上下身比例时,,边界低对比、被外套遮挡、动作持续改变落点或整体轮廓更强,G-P1-MEETING-SCHOOL,,,不得把单一腰线位置写成“人人显高”；不得忽略鞋、下装和外套覆盖。；边界低对比、被外套遮挡、动作持续改变落点或整体轮廓更强,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-PROP-002,较短上装可能上移视觉重心，但需要上下装共同成立,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P5_visual_styling_story,,,目标是改变上下比例或减少上身拖坠时,,下装腰线过低、上装落点不佳、内搭外露切割复杂或整体量感失衡,G-P1-SHORT-JACKET；G-P5-DOUBLEFACE,,,不得写成“短款人人显高、梨形必选短款”。；下装腰线过低、上装落点不佳、内搭外露切割复杂或整体量感失衡,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-PROP-003,高对比下摆落在显著横向区域时，可能强化该处注意,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P5_visual_styling_story,,,判断衣长落点与局部视觉宽度时,,同色低对比、敞开穿形成纵向线、下摆高度随动作变化或外层遮挡,,,,不得简化成“衣摆绝不能到胯/小腿最粗处”；必须结合完整造型。；同色低对比、敞开穿形成纵向线、下摆高度随动作变化或外层遮挡,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-PROP-004,纵向连续可以减少色块切割，但不能自动等同显高或显瘦,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P5_visual_styling_story,,,需要减少碎片化分割或建立纵向观看路径时,,轮廓过宽、材质高反光、横向结构更强或背景形成强切割,,,,不得把“竖条纹/同色系一定显高显瘦”写成确定事实。；轮廓过宽、材质高反光、横向结构更强或背景形成强切割,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-SIL-001,造型效果取决于量感分布，不只取决于宽松总量,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,比较宽松、收束、廓形和局部体积时,,只看尺码标签、平铺胸围或“oversize”营销词,,,,不得把“宽松/修身”作为单一好坏或统一身材答案。；只看尺码标签、平铺胸围或“oversize”营销词,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-SIL-002,宽松可以减少贴附，也可能增加整体视觉体积,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,用户以“遮、舒服、松弛”为目标时,,面料极垂、轮廓有明确收束、开合形成纵向路径；用户明确偏好大轮廓,G-P1-WIDE-OLD-BELIEF,,,不得承诺“越宽松越遮”“大一号一定更显瘦”。；面料极垂、轮廓有明确收束、开合形成纵向路径；用户明确偏好大轮廓,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-SIL-003,肩线与袖量共同决定上身视觉重音,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,需要判断上身利落、松弛、力量感或量感时,,面料极软或极挺、身体肩型差异大、袖窿结构未知,,,,不得把“正肩=显瘦”“落肩=显肩窄/休闲”写成固定答案。；面料极软或极挺、身体肩型差异大、袖窿结构未知,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-SIL-004,直筒、锥形和外扩轮廓会形成不同的收束与运动路径,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,比较裤装或裙装轮廓时,,面料垂坠/挺括差异大、裤长堆积、鞋面遮挡或腰臀不合身,,,,不得把“直筒修饰所有腿型”“阔腿人人显瘦”作为结论。；面料垂坠/挺括差异大、裤长堆积、鞋面遮挡或腰臀不合身,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-TEXTURE-001,哑光与光泽表面对高光、褶皱和视觉突出度的影响依赖光线,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P2_product_truth；P5_visual_styling_story,,,需要解释表面质感、镜头呈现和视觉重音时,,光线、角度、后整理或实物表面未知,,,,不得把哑光/光泽与高级、廉价、显胖直接绑定。；光线、角度、后整理或实物表面未知,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-TPO-001,正式度是剪裁、材质、整洁度、暴露程度、场景规则和关系共同形成的,domain_knowledge,B,batch_2_ab,review_candidate,active,content-production / P1,,正式场合或关系期待会影响当前穿衣选择时,P1_dressing_decision；P2_product_truth；P3_brand_life_narrative；P4_local_response,,,会议、工作、仪式、社交等场合选择,,明确着装制度已规定；当前场景是创意主题而非真实活动,,,,不得写成“正式场合必须黑色/西装”“针织一定不正式”。；明确着装制度已规定；当前场景是创意主题而非真实活动,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
B-TPO-002,TPO 不只包含着装规范，还包含动作、气候、时间切换与关系距离,domain_knowledge,B,batch_2_ab,review_candidate,review_candidate,,,,P1_dressing_decision；P3_brand_life_narrative；P4_local_response；P5_visual_styling_story,,,用户需要在多个现实任务之间切换时,,用户明确只追求某一个视觉目标；动态事实未知却被假定,,,,不得把目标人群标签替代真实场景；不得把“职业女性/宝妈”当固定答案。；用户明确只追求某一个视觉目标；动态事实未知却被假定,首批领域数据库知识数据/第六批-G零售经营陈列知识与墙面挂杆闭环包-v0.1/15-双应用全库机器导入候选-v0.2.jsonl,f0aa764a4e78198eb141f39a7ac7af33c3fc5b9d364fa07a58f066f0741eec11
