stable_id,来源分类,原始标签,内部五轴,标准名称,capability_state,是否进入精简V1,是否体型相关,依赖条件,gap_type,缺口去向,evidence_refs,supporting_asset_ids,代表性成品或测试,能力边界,真源路径,source_sha256
CAT-STYLE-PERSONA-06,风格/表达人设,幽默玩梗,style,幽默玩梗,composable,是,否,,,M7-2A 精简 V1,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS；src/tool/llm_gateway/deepseek.py::BoundaryContext,,,幽默；克制的冷幽默,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-RHYTHM-01,风格/节奏结构,强钩子,style,强钩子,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-RHYTHM-02,风格/节奏结构,沉浸慢叙,style,沉浸慢叙,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-RHYTHM-03,风格/节奏结构,口语短句,style,口语短句,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-RHYTHM-04,风格/节奏结构,杂志长句,style,杂志长句,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-RHYTHM-05,风格/节奏结构,句长错落,style,句长错落,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,只作为自然口语与节奏能力；不得以规避 AI 检测为目标，也不建设检测对抗。,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-FORWARD-01,风格/前瞻表达,反精致,style,反精致,experimental,否,否,,,有界试用；出现真实消费者后再评估是否进入精简 V1,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-FORWARD-02,风格/前瞻表达,活人感,style,活人感,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS；src/tool/llm_gateway/deepseek.py::BoundaryContext,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-FORWARD-03,风格/前瞻表达,情绪陪伴,style,情绪陪伴,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-STYLE-FORWARD-04,风格/前瞻表达,语气指纹,style,语气指纹,experimental,否,否,跨账号语气稳定性方法,generation_method,F10；需要跨账号稳定语气识别能力，第一阶段不建设自动人格学习,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-TEACH-01,题材/穿搭教学,搭配公式,topic,搭配公式,composable,是,否,,,M7-2A 精简 V1,src/brain/p1_contract.py::assert_content_complete；src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-TEACH-02,题材/穿搭教学,一衣多穿,topic,一衣多穿,composable,是,否,,,M7-2A 精简 V1,src/brain/p1_contract.py::assert_content_complete；src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-TEACH-03,题材/穿搭教学,叠穿法则,topic,叠穿法则,composable,否,否,,,保留登记，当前不进入前端,src/brain/p1_contract.py::assert_content_complete,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-TEACH-04,题材/穿搭教学,配色技巧,topic,配色技巧,composable,否,否,,,保留登记，当前不进入前端,src/brain/p1_contract.py::assert_content_complete,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-TEACH-05,题材/穿搭教学,显高显瘦,topic,显高显瘦,composable,是,是,,,M7-2A 精简 V1,src/brain/p1_contract.py::assert_content_complete,,,体型相关；默认隐藏，只有本人主动启用后才出现，不推断体型、不贬损体型、不承诺穿着效果。,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-TEACH-06,题材/穿搭教学,避坑纠错,topic,避坑纠错,composable,是,否,,,M7-2A 精简 V1,src/brain/p1_contract.py::assert_content_complete；tests/test_p1_vertical_slice.py::test_p1_v1_v2_history_save_and_explicit_reuse,,tests/test_p1_vertical_slice.py::test_p1_v1_v2_history_save_and_explicit_reuse,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-TEACH-07,题材/穿搭教学,搜索选题,topic,搜索选题,unsupported,否,否,平台/在地搜索上下文,media_tool,F10：出现带来源、时效与直接消费者的平台/在地上下文后另立能力增强,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-BODY-01,题材/体型身材,小个子,topic,小个子,composable,是,是,,,M7-2A 精简 V1,src/brain/p1_contract.py::assert_content_complete,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-BODY-02,题材/体型身材,微胖梨形,topic,微胖梨形,composable,是,是,,,M7-2A 精简 V1,src/brain/p1_contract.py::assert_content_complete,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-BODY-03,题材/体型身材,苹果型,topic,苹果型,composable,是,是,,,M7-2A 精简 V1,src/brain/p1_contract.py::assert_content_complete,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-BODY-04,题材/体型身材,大骨架,topic,大骨架,composable,否,是,,,保留登记，当前不进入前端,src/brain/p1_contract.py::assert_content_complete,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-BODY-05,题材/体型身材,胸型烦恼,topic,胸型烦恼,experimental,否,是,,,保留登记，当前不进入前端,src/brain/p1_contract.py::assert_content_complete,,,涉及具体身体细节；第一版不进入精简目录，只保留登记。,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-BODY-06,题材/体型身材,肤色适配,topic,肤色适配,composable,否,否,,,保留登记，当前不进入前端,src/brain/p1_contract.py::assert_content_complete,,,肤色不是体型；按原始分组登记，但不标记为体型相关。,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-OCCASION-01,题材/场合穿搭,通勤上班,topic,通勤上班,verified,是,否,,,M7-2A 精简 V1,src/brain/p1_contract.py::assert_content_complete；system_domain_assets:B-TPO-001；tests/test_p1_vertical_slice.py::test_p1_v1_v2_history_save_and_explicit_reuse,B-TPO-001,tests/test_p1_vertical_slice.py::test_p1_v1_v2_history_save_and_explicit_reuse,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-OCCASION-02,题材/场合穿搭,约会家长,topic,约会家长,composable,否,否,,,保留登记，当前不进入前端,src/brain/p1_contract.py::assert_content_complete,,,原始标签含义在研究稿中未定义，按原样登记，不擅自拆分为「约会」与「见家长」。,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-OCCASION-03,题材/场合穿搭,度假旅行,topic,度假旅行,composable,否,否,,,保留登记，当前不进入前端,src/brain/p1_contract.py::assert_content_complete,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-OCCASION-04,题材/场合穿搭,婚礼观礼,topic,婚礼观礼,composable,否,否,,,保留登记，当前不进入前端,src/brain/p1_contract.py::assert_content_complete,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-OCCASION-05,题材/场合穿搭,面试正式,topic,面试正式,composable,否,否,,,保留登记，当前不进入前端,src/brain/p1_contract.py::assert_content_complete,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-OCCASION-06,题材/场合穿搭,运动户外,topic,运动户外,composable,否,否,,,保留登记，当前不进入前端,src/brain/p1_contract.py::assert_content_complete,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-OCCASION-07,题材/场合穿搭,日常逛街,topic,日常逛街,composable,否,否,,,保留登记，当前不进入前端,src/brain/p1_contract.py::assert_content_complete,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-NEWITEM-01,题材/单品上新,新品首发,topic,新品首发,unsupported,否,否,已确认商品与上新事实,product_scope,F10：真实商品及对应上新事实进入直接消费者后另立能力增强,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-NEWITEM-02,题材/单品上新,单品种草,topic,单品种草,composable,否,否,已确认商品资料,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-NEWITEM-03,题材/单品上新,系列企划,continuity,连续系列,verified,是,否,,,M7-2A 精简 V1,src/infrastructure/workbench_repository.py::list_series；tests/test_m5_3_workbench.py::test_series_is_explicitly_created_inserted_reordered_and_reset,,tests/test_m5_3_workbench.py::test_series_is_explicitly_created_inserted_reordered_and_reset,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-NEWITEM-04,题材/单品上新,联名限定,topic,联名限定,unsupported,否,否,联名合作已确认事实,knowledge,F10,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-NEWITEM-05,题材/单品上新,清单盘点,mechanism,清单盘点,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,与体裁/教程干货的同名标签分别登记；精简 V1 只展示其中一条，避免同轴重复。,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-NEWITEM-06,题材/单品上新,平价好物,topic,平价好物,unsupported,否,否,已确认商品价格事实,product_scope,F10：真实商品价格事实与直接消费者成立后另立能力增强,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-FABRIC-01,题材/面料工艺,面料对比,topic,面料对比,verified,是,否,已确认商品面料事实,,M7-2A 精简 V1,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS；system_domain_assets:A-MAT-005；system_domain_assets:A-TRANSLATE-001,A-MAT-005；A-TRANSLATE-001,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-FABRIC-02,题材/面料工艺,成分辨别,topic,成分辨别,composable,否,否,已确认商品成分事实,,保留登记，当前不进入前端,system_domain_assets:A-TRANSLATE-001,A-TRANSLATE-001,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-FABRIC-03,题材/面料工艺,版型剪裁,topic,版型剪裁,composable,否,否,已确认商品版型事实,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-FABRIC-04,题材/面料工艺,工艺细节,topic,工艺细节,composable,否,否,已确认商品工艺事实,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-FABRIC-05,题材/面料工艺,真假鉴别,topic,真假鉴别,unsupported,否,否,,policy_conflict,F10；涉及对他方商品真伪下判断，超出当前事实与责任边界,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-FABRIC-06,题材/面料工艺,材质测评,topic,材质测评,unsupported,否,否,可引用的材质测试数据,knowledge,F10,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-CARE-01,题材/保养洗护,洗涤方法,topic,洗涤方法,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-CARE-02,题材/保养洗护,去皱去球,topic,去皱去球,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-CARE-03,题材/保养洗护,收纳换季,topic,收纳换季,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-CARE-04,题材/保养洗护,旧衣改造,topic,旧衣改造,experimental,否,否,,,有界试用；需要可复核的操作步骤证据,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-CARE-05,题材/保养洗护,除味除渍,topic,除味除渍,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-TREND-01,题材/趋势风格,季度趋势,topic,季度趋势,unsupported,否,否,可引用趋势来源与时效,media_tool,F10：出现带来源、时效与直接消费者的趋势上下文后另立能力增强,docs/架构决策/ADR-015-首期平台媒体成品与跨平台重编译.md,,docs/架构决策/ADR-015-首期平台媒体成品与跨平台重编译.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-TREND-02,题材/趋势风格,风格流派,topic,风格流派,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-TREND-03,题材/趋势风格,流行色,topic,流行色,unsupported,否,否,可引用流行色来源,knowledge,F10,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-TREND-04,题材/趋势风格,时装周,topic,时装周,unsupported,否,否,可引用秀场事实,knowledge,F10,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-TREND-05,题材/趋势风格,复古回潮,topic,复古回潮,composable,否,否,,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-TREND-06,题材/趋势风格,潮流预警,topic,潮流预警,unsupported,否,否,趋势信号来源,media_tool,F10；不建设流量预测器或平台黑箱迎合,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-PEOPLE-01,题材/品牌人物,品牌故事,topic,品牌故事,verified,是,否,,,M7-2A 精简 V1,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS；system_domain_assets:D-PERSONA-001；system_domain_assets:D-PERSONA-002,D-PERSONA-001；D-PERSONA-002,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-PEOPLE-02,题材/品牌人物,主理人 IP,topic,主理人 IP,unsupported,否,否,真实人物本人授权与可用事实,source_gap,F10；不冒充真实人物,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-PEOPLE-03,题材/品牌人物,店员人设,topic,店员人设,composable,否,否,门店型发布账号与其五段画像,,保留登记，当前不进入前端,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS,,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-PEOPLE-04,题材/品牌人物,幕后制作,topic,幕后制作,unsupported,否,否,真实制作过程事实,source_gap,F10,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-PEOPLE-05,题材/品牌人物,用户返图,topic,用户返图,unsupported,否,否,顾客授权与真实返图,source_gap,F10；不编造顾客,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-PEOPLE-06,题材/品牌人物,员工穿搭,topic,员工穿搭,unsupported,否,否,员工本人授权,source_gap,F10,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-STORE-01,题材/门店本地,门店日常,topic,门店日常,verified,否,否,用户本次提供的真实近场信号,,已实现但不进入精简 V1，避免同轴选项过多,src/tool/llm_gateway/deepseek.py::_CONTRACT_FIELDS；system_domain_assets:C-LOCAL-001；system_domain_assets:C-LOCAL-002,C-LOCAL-001；C-LOCAL-002,,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-STORE-02,题材/门店本地,上新到店,topic,上新到店,unsupported,否,否,已确认到店商品事实,product_scope,F10：真实到店商品事实与直接消费者成立后另立能力增强,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
CAT-TOPIC-STORE-03,题材/门店本地,探店打卡,topic,探店打卡,unsupported,否,否,真实到店记录,source_gap,F10,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,docs/架构决策/ADR-027-内容表达空间目录与用户控制边界.md,,config/content_expression/capability-inventory-v1.jsonl,64e96da77a109e532158a99dd7913d2b74fd1b75b6e75ebe9edfd12bdfd9fa76
